ts,arm,family,template,item_id,rep,temperature,n_attempts,n_conv_attempts,lat_total_ms,conv_lat_ms,score,gate_pass,f0_ok,v_in,v_out,f_tok,r_in,r_out,k_in,k_out,k_rin,k_rout,f_conv_tok,f_exec_tok,doc_valid,kerr_flag,conv_errors,detail,final_error,transport_fail,raw_path,rerun
2026-08-26T15:09:13,CSIR-SIR,EX,EX-01,EX-01-00,,0.0,5,3,19002,692031,0.1429,False,True,225,340,295,540,291,1649,8192,3354,16384,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-00.json,0
2026-08-26T15:09:35,CSIR-SIR,EX,EX-01,EX-01-02,,0.0,5,3,17368,699421,0.1429,False,True,225,312,295,540,367,1648,8192,3352,16384,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-02.json,0
2026-08-26T15:09:49,CSIR-SIR,EX,EX-01,EX-01-01,,0.0,5,3,20636,724051,0.1429,False,True,225,394,295,540,302,1648,8192,3352,16384,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-01.json,0
2026-08-26T15:13:21,CSIR-SIR,EX,EX-01,EX-01-03,,0.0,5,3,15248,945884,0.1429,False,True,225,245,295,540,286,1647,8192,3350,16384,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-03.json,0
2026-08-26T15:22:44,CSIR-SIR,EX,EX-01,EX-01-05,,0.0,5,3,21844,683658,0.1429,False,True,225,446,295,540,367,1651,8192,3358,16384,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-05.json,0
2026-08-26T15:22:45,CSIR-SIR,EX,EX-01,EX-01-06,,0.0,5,3,15255,656657,0.1429,False,True,225,194,295,540,331,1646,8192,3348,16384,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-06.json,0
2026-08-26T15:22:46,CSIR-SIR,EX,EX-01,EX-01-04,,0.0,5,3,41093,668253,0.1429,False,True,225,384,295,540,361,1647,8192,3350,16384,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-04.json,0
2026-08-26T15:26:11,CSIR-SIR,EX,EX-01,EX-01-07,,0.0,5,3,13964,692713,0.1429,False,True,225,126,295,540,370,1650,8192,3356,16384,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-07.json,0
2026-08-26T15:34:24,CSIR-SIR,EX,EX-02,EX-02-00,,0.0,5,3,20726,655215,0.0769,False,True,211,155,295,526,410,1701,8192,3458,16384,1368,295,False,True,json:no JSON object found,"{""incident_id"": false, ""service"": false, ""symptom"": false, ""t_open"": false, ""blast_region"": false, ""blast_share"": false, ""rollback_deploy_id"": false, ""rollback_time"": false, ""suspected_cause"": false, ""status_page_time"": false, ""enterprise_email_required"": true, ""exception_company"": false, ""exception_notify"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-02-00.json,0
2026-08-26T15:36:47,CSIR-SIR,EX,EX-02,EX-02-01,,0.0,5,3,15313,600587,0.0769,False,True,211,162,295,526,355,1691,8192,3438,16384,1368,295,False,True,json:no JSON object found,"{""incident_id"": false, ""service"": false, ""symptom"": false, ""t_open"": false, ""blast_region"": false, ""blast_share"": false, ""rollback_deploy_id"": false, ""rollback_time"": false, ""suspected_cause"": false, ""status_page_time"": false, ""enterprise_email_required"": true, ""exception_company"": false, ""exception_notify"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-02-01.json,0
2026-08-26T15:37:19,CSIR-SIR,EX,EX-01,EX-01-08,,0.0,5,3,13724,735459,0.1429,False,True,225,235,295,540,313,1649,8192,3354,16384,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-08.json,0
2026-08-26T15:42:01,CSIR-SIR,EX,EX-01,EX-01-09,,0.0,5,3,13087,1100485,0.1429,False,True,225,187,295,540,298,1649,8192,3354,16384,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-09.json,0
2026-08-26T15:44:45,CSIR-SIR,EX,EX-02,EX-02-02,,0.0,5,3,15233,605364,0.0769,False,True,211,224,295,526,330,1694,8192,3444,16384,1368,295,False,True,json:no JSON object found,"{""incident_id"": false, ""service"": false, ""symptom"": false, ""t_open"": false, ""blast_region"": false, ""blast_share"": false, ""rollback_deploy_id"": false, ""rollback_time"": false, ""suspected_cause"": false, ""status_page_time"": false, ""enterprise_email_required"": true, ""exception_company"": false, ""exception_notify"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-02-02.json,0
